date	agegroup	sari_covid19_incidence
2022-W41	60-79	10.7
2022-W41	80+	49.7
2022-W41	00+	7.5
2022-W42	60-79	12.1
2022-W42	80+	40.8
2022-W42	00+	7.2
2022-W43	60-79	9.4
2022-W43	80+	31.6
2022-W43	00+	5.4
2022-W44	60-79	4.2
2022-W44	80+	22.4
2022-W44	00+	3.4
2022-W45	60-79	5.2
2022-W45	80+	18.1
2022-W45	00+	3.1
2022-W46	60-79	5.6
2022-W46	80+	15.1
2022-W46	00+	3.2
2022-W47	60-79	5.2
2022-W47	80+	22.7
2022-W47	00+	3.8
2022-W48	60-79	5.1
2022-W48	80+	26.7
2022-W48	00+	4.0
2022-W49	60-79	7.0
2022-W49	80+	32.4
2022-W49	00+	5.0
2022-W50	60-79	7.5
2022-W50	80+	39.7
2022-W50	00+	5.7
2022-W51	60-79	8.9
2022-W51	80+	42.9
2022-W51	00+	6.5
2022-W52	60-79	10.0
2022-W52	80+	39.7
2022-W52	00+	6.2
2023-W01	60-79	7.2
2023-W01	80+	33.8
2023-W01	00+	4.9
2023-W02	60-79	3.5
2023-W02	80+	15.9
2023-W02	00+	2.5
2023-W03	60-79	3.2
2023-W03	80+	12.4
2023-W03	00+	2.1
2023-W04	60-79	1.5
2023-W04	80+	15.1
2023-W04	00+	1.9
2023-W05	60-79	2.9
2023-W05	80+	17.6
2023-W05	00+	2.5
2023-W06	60-79	5.2
2023-W06	80+	18.9
2023-W06	00+	3.3
2023-W07	60-79	5.2
2023-W07	80+	21.6
2023-W07	00+	3.3
2023-W08	60-79	6.7
2023-W08	80+	24.9
2023-W08	00+	4.4
2023-W09	60-79	7.4
2023-W09	80+	29.7
2023-W09	00+	4.7
2023-W10	60-79	5.9
2023-W10	80+	33.2
2023-W10	00+	4.7
2023-W11	60-79	8.8
2023-W11	80+	34.0
2023-W11	00+	5.4
2023-W12	60-79	6.6
2023-W12	80+	30.0
2023-W12	00+	4.7
2023-W13	60-79	5.2
2023-W13	80+	20.8
2023-W13	00+	3.3
2023-W14	60-79	3.7
2023-W14	80+	23.2
2023-W14	00+	3.3
2023-W15	60-79	3.6
2023-W15	80+	16.2
2023-W15	00+	2.6
2023-W16	60-79	3.2
2023-W16	80+	9.7
2023-W16	00+	1.8
2023-W17	60-79	2.1
2023-W17	80+	11.3
2023-W17	00+	1.8
2023-W18	60-79	3.0
2023-W18	80+	10.0
2023-W18	00+	1.7
2023-W19	60-79	3.6
2023-W19	80+	7.3
2023-W19	00+	1.7
2023-W20	60-79	2.2
2023-W20	80+	9.2
2023-W20	00+	1.5
2023-W21	60-79	1.6
2023-W21	80+	4.9
2023-W21	00+	0.9
2023-W22	60-79	1.1
2023-W22	80+	2.4
2023-W22	00+	0.6
2023-W23	60-79	1.5
2023-W23	80+	3.0
2023-W23	00+	0.7
2023-W24	60-79	1.1
2023-W24	80+	2.4
2023-W24	00+	0.5
2023-W25	60-79	0.6
2023-W25	80+	0.8
2023-W25	00+	0.2
2023-W26	60-79	0.5
2023-W26	80+	1.1
2023-W26	00+	0.2
2023-W27	60-79	0.4
2023-W27	80+	0.3
2023-W27	00+	0.1
2023-W28	60-79	0.5
2023-W28	80+	1.9
2023-W28	00+	0.3
2023-W29	60-79	0.7
2023-W29	80+	1.4
2023-W29	00+	0.3
2023-W30	60-79	0.7
2023-W30	80+	1.9
2023-W30	00+	0.4
2023-W31	60-79	0.5
2023-W31	80+	2.7
2023-W31	00+	0.5
2023-W32	60-79	0.7
2023-W32	80+	3.2
2023-W32	00+	0.5
2023-W33	60-79	1.8
2023-W33	80+	7.0
2023-W33	00+	1.1
2023-W34	60-79	1.4
2023-W34	80+	4.1
2023-W34	00+	0.9
2023-W35	60-79	1.9
2023-W35	80+	6.5
2023-W35	00+	1.2
2023-W36	60-79	2.3
2023-W36	80+	11.3
2023-W36	00+	1.8
2023-W37	60-79	2.2
2023-W37	80+	11.3
2023-W37	00+	1.7
2023-W38	60-79	2.9
2023-W38	80+	11.9
2023-W38	00+	1.9
2023-W39	60-79	3.1
2023-W39	80+	16.7
2023-W39	00+	2.4
2023-W40	60-79	3.1
2023-W40	80+	21.1
2023-W40	00+	2.8
2023-W41	60-79	4.5
2023-W41	80+	27.8
2023-W41	00+	3.8
2023-W42	60-79	6.4
2023-W42	80+	31.1
2023-W42	00+	4.6
2023-W43	60-79	7.6
2023-W43	80+	34.6
2023-W43	00+	5.3
2023-W44	60-79	9.6
2023-W44	80+	39.4
2023-W44	00+	6.5
2023-W45	60-79	8.2
2023-W45	80+	41.3
2023-W45	00+	6.1
2023-W46	60-79	8.6
2023-W46	80+	39.2
2023-W46	00+	6.2
2023-W47	60-79	10.0
2023-W47	80+	44.8
2023-W47	00+	7.2
2023-W48	60-79	8.7
2023-W48	80+	43.2
2023-W48	00+	6.7
2023-W49	60-79	10.8
2023-W49	80+	53.5
2023-W49	00+	8.0
2023-W50	60-79	11.4
2023-W50	80+	59.4
2023-W50	00+	9.0
2023-W51	60-79	10.6
2023-W51	80+	46.7
2023-W51	00+	7.6
2023-W52	60-79	9.1
2023-W52	80+	38.6
2023-W52	00+	6.3
2024-W01	60-79	5.7
2024-W01	80+	21.1
2024-W01	00+	4.0
2024-W02	60-79	3.7
2024-W02	80+	15.7
2024-W02	00+	2.6
2024-W03	60-79	3.3
2024-W03	80+	10.0
2024-W03	00+	2.0
2024-W04	60-79	2.6
2024-W04	80+	9.2
2024-W04	00+	1.9
2024-W05	60-79	1.8
2024-W05	80+	9.2
2024-W05	00+	1.5
2024-W06	60-79	1.8
2024-W06	80+	8.1
2024-W06	00+	1.4
2024-W07	60-79	0.5
2024-W07	80+	3.8
2024-W07	00+	0.5
